topic_id,method,date,forecast,lower,upper,mae,rmse,mape,smape,r2,forecast_pct
23,Ensemble,2026-08-01,0.0028049411933550785,-0.002681122988284615,0.008291005142164128,0.00664,0.00699,,,,0.28049411933550783
23,Ensemble,2026-09-01,0.0018470423944097836,-0.004365742889625462,0.008059827678445031,0.00664,0.00699,,,,0.18470423944097836
23,Ensemble,2026-10-01,0.0011471636148592517,-0.0053794124651291375,0.007673739811262963,0.00664,0.00699,,,,0.11471636148592518
23,Ensemble,2026-11-01,0.0007567882558520232,-0.0059165388751483226,0.007430115270437048,0.00664,0.00699,,,,0.07567882558520231
23,Ensemble,2026-12-01,0.0005539635815703355,-0.006190045942132804,0.0072979731343773046,0.00664,0.00699,,,,0.055396358157033546
23,Ensemble,2027-01-01,0.0004243750738098935,-0.006354119145923072,0.00720286932264669,0.00664,0.00699,,,,0.04243750738098935
24,Ensemble,2026-08-01,0.004605635453762062,0.002706847826586375,0.006504423080937749,0.00259,0.00289,,,,0.4605635453762062
24,Ensemble,2026-09-01,0.006067804363993279,0.003730090104060428,0.00840551868213379,0.00259,0.00289,,,,0.6067804363993279
24,Ensemble,2026-10-01,0.00682727978823472,0.004265739833574908,0.009388819626479212,0.00259,0.00289,,,,0.682727978823472
24,Ensemble,2026-11-01,0.006170335911298019,0.0036076902605685903,0.008732981445612124,0.00259,0.00289,,,,0.6170335911298018
24,Ensemble,2026-12-01,0.00493848603129924,0.002375758060971886,0.007501213972522763,0.00259,0.00289,,,,0.49384860312992396
24,Ensemble,2027-01-01,0.0044795880522196015,0.0018853549054467574,0.007073821315407767,0.00259,0.00289,,,,0.44795880522196013
25,Ensemble,2026-08-01,0.005595366110996126,0.002900775910818022,0.008289956311174232,0.00137,0.00168,,,,0.5595366110996126
25,Ensemble,2026-09-01,0.005603098183841228,0.0019054500376425852,0.009300746446455193,0.00137,0.00168,,,,0.5603098183841227
25,Ensemble,2026-10-01,0.005533980195381462,0.0010666602135251575,0.010001300293653089,0.00137,0.00168,,,,0.5533980195381462
25,Ensemble,2026-11-01,0.00549105332602632,0.0003748705103481221,0.010607236258119839,0.00137,0.00168,,,,0.549105332602632
25,Ensemble,2026-12-01,0.005460566481546282,-0.00022727582475590212,0.011148408671433145,0.00137,0.00168,,,,0.5460566481546282
25,Ensemble,2027-01-01,0.005483822537557005,-0.0007208392006891279,0.01168848427580314,0.00137,0.00168,,,,0.5483822537557005
26,Ensemble,2026-08-01,0.0034571458101130895,0.0005688273501648071,0.006345464502892016,0.00225,0.00231,,,,0.3457145810113089
26,Ensemble,2026-09-01,0.003099293441191207,-0.002093197073450204,0.008291783723001975,0.00225,0.00231,,,,0.3099293441191207
26,Ensemble,2026-10-01,0.0028665785830203003,-0.00461526743107006,0.010348424713525983,0.00225,0.00231,,,,0.28665785830203006
26,Ensemble,2026-11-01,0.0026611190238316385,-0.005876790950294721,0.011199029230788641,0.00225,0.00231,,,,0.26611190238316385
26,Ensemble,2026-12-01,0.002528010410372491,-0.006575563347917614,0.011631584052247275,0.00225,0.00231,,,,0.2528010410372491
